Study_ID,Item_Type,Publication_Year,Author_List,Title,Publication_Title,DOI,Url,Abstract Note,Pages,Issue,Volume,Publisher,Place,Library_Catalog,Editor,Conference_Name,Author_Last,Include,level,Country,Discipline,Condensed_Discipline,Outcome,Condensed_Outcomes,Study_Design
26,journalArticle,2022,"Zhang, Icy (Yunyi); Tucker, Mary C.; Stigler, James W.",Watching a hands-on activity improves students’ understanding of randomness,Computers & Education,10.1016/j.compedu.2022.104545,https://linkinghub.elsevier.com/retrieve/pii/S0360131522001166,"Introductory statistics students struggle to understand randomness as a data generating process, and especially its application to the practice of data analysis. Although modern computational techniques for data analysis such as simulation, randomization, and bootstrapping have the po­ tential to make the idea of randomness more concrete, representing such random processes with R code is not as easy for students to understand as is something like a coin-flip, which is both concrete and embodied. In this study, in the context of multimedia learning, we designed and tested the efficacy of an instructional sequence that preceded computational simulations with embodied demonstrations. We investigated the role that embodied hands-on movement might play in facilitating students’ understanding of the shuffle function in R. Our findings showed that students who watched a video of hands shuffling data written on pieces of paper learned more from a subsequent live-coding demonstration of randomization using R than did students only introduced to the concept using R. Although others have found an advantage of students them­ selves engaging in hands-on activities, this study showed that merely watching someone else engage can benefit learning. Implications for online and remote instruction are discussed.",104545,,186,Computers & Education,,DOI.org (Crossref),,,Zhang,N,UG,US,Psychology,Pyschology,"Attitudes towards R, questions about distribution",,QE
28,journalArticle,2022,"Eghterafi, Wadi; Tucker, Mary C.; Zhang, Icy (Yunyi); Son, Ji Yun",Effect of Feedback with Video-based Peer Modeling on Learning and Self-efficacy,Online Learning,10.24059/olj.v26i2.2732,https://olj.onlinelearningconsortium.org/index.php/olj/article/view/2732,"In this study, we examined the effect of video-based feedback designed to highlight a peer engaging in effective thinking processes on self-efficacy beliefs and learning outcomes (performance on a delayed quiz). Students in an introductory statistics course participated in an online learning activity where they received feedback in one of three randomly assigned conditions: a video of a peer demonstrating the process of arriving at a correct answer (mastery condition), a peer making mistakes then self-correcting those errors before arriving at a correct answer (coping condition), or a screenshot of a peer’s correct worked example (as a control). Results indicated that students who watched the mastery videos, but not the coping videos, rated their self-efficacy higher and scored higher on a class quiz taken more than a day after the feedback intervention than students who viewed a worked example. However, students in the two video conditions did not significantly differ in terms of either self-efficacy and quiz performance. The results of this study, although modest in scope, illustrate how the design of feedback could lead to noticeable differences in student learning.",,2,26,OLJ,,DOI.org (Crossref),,,Eghterafi,N,UG,US,Psychology,Psychology,Learning outcomes based on video-feedback,,EX
29,journalArticle,2022,"Sutter, Claudia C.; Hulleman, Chris S.; Givvin, Karen B.; Tucker, Mary",Utility value trajectories and their relationship with behavioral engagement and performance in introductory statistics,Learning and Individual Differences,10.1016/j.lindif.2021.102095,https://linkinghub.elsevier.com/retrieve/pii/S1041608021001321,"This study examined utility value trajectories overall and by gender, race, and underrepresented racial minority (URM) status within an introductory statistics course and tested the relationships between utility value, behavioral engagement, and performance. Data from 1108 undergraduates included three surveys integrated into their online textbook (t1: beginning of the textbook; t2: middle of the textbook; t3: end of the textbook). On average, utility value declined from t1 to t2. There were no significant differences by gender, however, latent change models revealed significant differences between URM and non-URM students: While Black, Latinx, and racially minoritized students continued to experience a decline in utility value from t2 to t3, White and Asian students did not. Utility value was reciprocally related to behavioral engagement during the learning process, and both utility value (t3) and behavioral engagement (t1 and t2) predicted final course grades. The findings highlight the need for a deeper understanding of short-term relationships between utility value, behavioral engagement, and performance as well as the ongoing concern for how best to support students who identify with underrepresented groups in STEM.",102095,,93,Learning and Individual Differences,,DOI.org (Crossref),,,Sutter,Y,UG,US,Psychology,Psychology,"Utility, Behavior engagement, and grades",Multiple,OB
30,journalArticle,2021,"Fries, Laura; Son, Ji Y.; Givvin, Karen B.; Stigler, James W.",Practicing Connections: A Framework to Guide Instructional Design for Developing Understanding in Complex Domains,Educational Psychology Review,10.1007/s10648-020-09561-x,https://link.springer.com/10.1007/s10648-020-09561-x,"Research suggests that expert understanding is characterized by coherent mental representations featuring a high level of connectedness. This paper advances the idea that educators can facilitate this level of understanding in students through the practicing connections framework: a practical framework to guide instructional design for developing deep understanding and transferable knowledge in complex academic domains. We start by reviewing what we know from learning sciences about the nature and development of transferable knowledge, arguing that connectedness is key to the coherent mental schemas that underlie deep understanding and transferable skills. We then propose features of instruction that might uniquely facilitate deep understanding and suggest that the connections between a domain’s core concepts, key representations, and contexts and practices of the world must be made explicit and practiced, over time, in order for students to develop coherent understanding. We illustrate the practicing connections approach to instructional design in the context of a new online interactive introductory statistics textbook developed by the authors.",739-762,2,33,Educ Psychol Rev,,DOI.org (Crossref),,,Fries,Y,UG,US,Psychology,Psychology,Framework of the Practicing Connections approach and an interactive textbook ,Framework,OT
31,journalArticle,2023,"Overton, Michael; Kleinschmit, Stephen",Transforming research methods education through data science literacy,Teaching Public Administration,10.1177/01447394221084488,https://doi.org/10.1177/01447394221084488,"Mass adoption of advanced information technologies is fueling a need for public servants with the skills to manage data-driven public agencies. Public employees typically acquire data skills through graduate research methods courses, which focus primarily on research design and statistical analysis. What data skills are currently taught, and what content should Master of Public Administration (MPA) programs include in their research method courses? We categorized research method course content in 52 syllabi from 31 MPA programs to understand how data skills are taught in public administration. We find that most graduate programs rely on research methods more suited for academic and policy research while lacking the data skills needed to modernize public agencies. Informed by these results, this work presents the Data Science Literacy Framework as a guide for assessing and planning curriculum within MPA programs.",149-169,2,41,,,SAGE Journals,,,Overton,N,GR,US,Public Administration,Public Administration,None,,OB
32,journalArticle,2022,"Scheller, Daniel S.",A case study of R in public affairs education: Effective use in hybrid and asynchronous online statistics courses,Journal of Public Affairs Education,10.1080/15236803.2022.2063045,https://doi.org/10.1080/15236803.2022.2063045,"The general growth in public affairs programs offering hybrid and online courses to reach a wide variety of students, along with the necessity of doing so during a global health pandemic, calls for an investigation of best practices in teaching public affairs statistics and research-oriented courses. These courses often require the use of a statistics software program. I describe my use of R with the R Commander package that turns the R interface into a graphical user interface (GUI) similar to other, commonly used software programs. I detail my experience using this software through a case study utilizing two different pedagogical techniques. I find that the use of instructor-generated video tutorials of the R Commander software program allows hybrid and online students to effectively learn statistics concepts in a similar manner and as effectively as students in traditional, in-person courses.",302-323,3,28,,,Taylor and Francis+NEJM,,,Scheller,Y,GR,US,Public Administration,Public Administration,"Skills, Comfort, Attitudes",Multiple,OB
33,journalArticle,2019,"Kleinschmit, Stephen",An Inclusive Framework for Data Science Competencies in NASPAA MPA & MPP Programs,,10.25417/uic.20069129.v1,https://indigo.uic.edu/articles/journal_contribution/An_Inclusive_Framework_for_Data_Science_Competencies_in_NASPAA_MPA_MPP_Programs/20069129/1,No description supplied,,,,,,indigo.uic.edu,,,Kleinschmit,N,GR,US,Public Policy,Public Policy,Framework ,,OT
34,journalArticle,2019,"Day, Elizabeth; Fitzpatrick, Maria; O'Toole, Thomas",Summary of Proposed Approach at Cornell University’s Institute for Public Affairs,,,,https://www.naspaa.org/data-science,,,,,,,,,Day,N,BOTH,US,Public Policy,Public Policy,Curriculum Proposal,,OT
35,journalArticle,2018,"Sayres, Melissa A. Wilson; Hauser, Charles; Sierk, Michael; Robic, Srebrenka; Rosenwald, Anne G.; Smith, Todd M.; Triplett, Eric W.; Williams, Jason J.; Dinsdale, Elizabeth; Morgan, William R.; Iii, James M. Burnette; Donovan, Samuel S.; Drew, Jennifer C.; Elgin, Sarah C. R.; Fowlks, Edison R.; Galindo-Gonzalez, Sebastian; Goodman, Anya L.; Grandgenett, Nealy F.; Goller, Carlos C.; Jungck, John R.; Newman, Jeffrey D.; Pearson, William; Ryder, Elizabeth F.; Tosado-Acevedo, Rafael; Tapprich, William; Tobin, Tammy C.; Toro-Martínez, Arlín; Welch, Lonnie R.; Wright, Robin; Barone, Lindsay; Ebenbach, David; McWilliams, Mindy; Olney, Kimberly C.; Pauley, Mark A.",Bioinformatics core competencies for undergraduate life sciences education,PLOS ONE,10.1371/journal.pone.0196878,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0196878,"Although bioinformatics is becoming increasingly central to research in the life sciences, bioinformatics skills and knowledge are not well integrated into undergraduate biology education. This curricular gap prevents biology students from harnessing the full potential of their education, limiting their career opportunities and slowing research innovation. To advance the integration of bioinformatics into life sciences education, a framework of core bioinformatics competencies is needed. To that end, we here report the results of a survey of biology faculty in the United States about teaching bioinformatics to undergraduate life scientists. Responses were received from 1,260 faculty representing institutions in all fifty states with a combined capacity to educate hundreds of thousands of students every year. Results indicate strong, widespread agreement that bioinformatics knowledge and skills are critical for undergraduate life scientists as well as considerable agreement about which skills are necessary. Perceptions of the importance of some skills varied with the respondent’s degree of training, time since degree earned, and/or the Carnegie Classification of the respondent’s institution. To assess which skills are currently being taught, we analyzed syllabi of courses with bioinformatics content submitted by survey respondents. Finally, we used the survey results, the analysis of the syllabi, and our collective research and teaching expertise to develop a set of bioinformatics core competencies for undergraduate biology students. These core competencies are intended to serve as a guide for institutions as they work to integrate bioinformatics into their life sciences curricula.",e0196878,6,13,PLOS ONE,,PLoS Journals,,,Sayres,N,UG,US,Life Sciences,Biology,None,,OB
36,report,2020,"Wright, April M.; Schwartz, Rachel S.; Oaks, Jamie R.; Newman, Catherine E.; Flanagan, Sarah P.","The why, when, and how of computing in biology classrooms",,,https://f1000research.com/articles/8-1854,"Many biologists are interested in teaching computing skills or using computing in the classroom, despite not being formally trained in these skills themselves. Thus biologists may find themselves researching how to teach these skills, and therefore many individuals are individually attempting to discover resources and methods to do so. Recent years have seen an expansion of new technologies to assist in delivering course content interactively. Educational research provides insights into how learners absorb and process information during interactive learning. In this review, we discuss the value of teaching foundational computing skills to biologists, and strategies and tools to do so. Additionally, we review the literature on teaching practices to support the development of these skills. We pay special attention to meeting the needs of diverse learners, and consider how different ways of delivering course content can be leveraged to provide a more inclusive classroom experience. Our goal is to enable biologists to teach computational skills and use computing in the classroom successfully.",,,,,,f1000research.com,,,Wright,N,UG,US,Biology,Biology,None,,QL
37,journalArticle,2015,"Hardin, J.; Hoerl, R.; Horton, Nicholas J.; Nolan, D.; Baumer, B.; Hall-Holt, O.; Murrell, P.; Peng, R.; Roback, P.; Lang, D. Temple; Ward, M. D.","Data Science in Statistics Curricula: Preparing Students to ""Think with Data""",The American Statistician,,https://www.jstor.org/stable/24592136,"A growing number of students are completing undergraduate degrees in statistics and entering the workforce as data analysts. In these positions, they are expected to understand how to use databases and other data warehouses, scrape data from Internet sources, program solutions to complex problems in multiple languages, and think algorithmically as well as statistically. These data science topics have not traditionally been a major component of undergraduate programs in statistics. Consequently, a curricular shift is needed to address additional learning outcomes. The goal of this article is to motivate the importance of data science proficiency and to provide examples and resources for instructors to implement data science in their own statistics curricula. We provide case studies from seven institutions. These varied approaches to teaching data science demonstrate curricular innovations to address new needs. Also included here are examples of assignments designed for courses that foster engagement of undergraduates with data and data science.",343-353,4,69,,,JSTOR,,,Hardin,Y,UG,"US, NZ",Statistics,Statistics,Course overview and recommendations,Framework,QL
38,journalArticle,2024,"Miller, Ainsley; Pyper, Kate",Anxiety Around Learning R in First Year Undergraduate Students: Mathematics versus Biomedical Sciences Students,Journal of Statistics and Data Science Education,10.1080/26939169.2023.2190010,https://doi.org/10.1080/26939169.2023.2190010,"R is becoming the standard for teaching statistics due to its flexibility, and open-source nature, replacing software programs like Minitab and SPSS. The main driver for reform within Scottish statistical undergraduate programs is the creation of the Scottish Qualification Authority’s Higher Applications of Mathematics course which has statistics as a core topic. The course saw R introduced into the Scottish high school curriculum for the first time from August 2021. This facilitates the need for R to be introduced into Higher Education courses at an earlier stage. In academic year 2021/22 we introduced RStudio into our first year introductory statistics class. This class is taken by students studying Mathematics, and those studying Biomedical Sciences. Both cohorts were surveyed in order to assess their anxiety and enjoyment of learning how to use R, with a goal of assessing any differences between the groups. We found that there was no association in software anxiety at the start of the class. However, as the class progressed the Mathematics students reported lower levels of anxiety compared to the Biomedical Sciences students. The Mathematics students seemed to enjoy the class more than the Biomedical Sciences students, thus, needing further investigation into enjoyment versus anxiety.",47-53,1,32,,,Taylor and Francis+NEJM,,,Miller,Y,UG,UK,"Mathematics, Biomedical Sciences",Multiple,Anxiety,Perceptions ,OB
39,journalArticle,2023,"Navarro, Silvia Margarita Baldiris; Salazar, Jorge Enrique Cachiotis",Peer-Review to Support Teaching Text Analysis to Digital Humanists Using R,2023 IEEE International Conference on Advanced Learning Technologies (ICALT),10.1109/icalt58122.2023.00049,,"Teaching programming for non-programmers is a difficult task for teachers. This manuscript describes an intervention designed to help students from Digital Humanities while learning R for text analysis. Intervention based on a peer review reported a good performance regarding supporting the students while learning R, providing them with adequate space to exchange ideas and good practices.",NA-NA,NA,NA,,,,,,Navarro,N,GR,SP,Digital Humanities,Other,Rubric with R Outcome,,QL
